Title,ParentID,CollaborationPeriod,ResponsibleEntity,TypeOfSubmission,StrategicPlanENG,StrategicPlanSPA,HealthAgendaENG,HealthAgendaSPA,DescriptionENG,DescriptionSPA,ExpectedResultsENG,ExpectedResultsSPA,DurationENG,DurationSPA
NSA-2025-5-WPA_1,5,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 05: 5 Access to services for non-communicable diseases and mental health conditions,OCM 05: 5 Acceso a servicios para enfermedades no transmisibles y condiciones de salud mental,Goal 1: Equitable Access to Health Services,Meta 1: Acceso Equitativo a los Servicios de Salud,TESTING PROD,PRUEBA DE PRODUCCIÓN,,,3,3
NSA-2025-36-WPA_1,36,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 01: Access to comprehensive and quality health services; OCM 02: Health throughout the life course; OCM 03: Quality care for older people; OCM 05: Access to services for non-communicable diseases (NCDs) and mental health conditions; OCM 07: Health workforce,OCM 01: Acceso a servicios de salud integrales y de calidad; OCM 02: Salud a lo largo del ciclo de vida; OCM 03: Atención de calidad para las personas mayores; OCM 05: Acceso a servicios para enfermedades no transmisibles y condiciones de salud mental; OCM 07: Fuerza laboral de salud.,Goal 1: Equitable Access to Health Services; Goal 11: Health Inequalities and Inequities; Goal 9: Noncommunicable Diseases,Objetivo 1: Acceso Equitativo a los Servicios de Salud; Objetivo 11: Desigualdades e Inequidades en Salud; Objetivo 9: Enfermedades No Transmisibles,"a) Expand the collaboration between ASHA and PAHO on technical cooperation to develop capacities on communication disorders in 3 new countries in the region. In 2024, ASHA and PAHO will conduct a virtual meeting with stakeholders from each country for introductions and discussions about the situation related to communication disorders. A work plan of activities with direct involvement of local personnel will be developed, and ASHA will form an ad hoc committee of volunteer members for each country.","a) Ampliar la colaboración entre ASHA y la OPS en cooperación técnica para desarrollar capacidades en trastornos de la comunicación en 3 nuevos países de la Región. En 2024, ASHA y la OPS llevarán a cabo una reunión virtual con los interesados de cada país para presentaciones y discusiones sobre la situación relacionada con los trastornos de la comunicación. Se desarrollará un plan de trabajo de actividades con la participación directa del personal local, y ASHA formará un comité ad hoc de miembros voluntarios para cada país.",,,1 year,1 year
NSA-2025-36-WPA_2,36,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 01: Access to comprehensive and quality health services; OCM 02: Health throughout the life course; OCM 03: Quality care for older people; OCM 05: Access to services for non-communicable diseases (NCDs) and mental health conditions; OCM 07: Health workforce,OCM 01: Acceso a servicios de salud integrales y de calidad; OCM 02: Salud a lo largo del ciclo de vida; OCM 03: Atención de calidad para personas mayores; OCM 05: Acceso a servicios para enfermedades no transmisibles y condiciones de salud mental; OCM 07: Fuerza laboral de salud.,Goal 1: Equitable Access to Health Services; Goal 11: Health Inequalities and Inequities; Goal 9: Noncommunicable Diseases,Objetivo 1: Acceso Equitativo a los Servicios de Salud; Objetivo 11: Desigualdades e Inequidades en Salud; Objetivo 9: Enfermedades No Transmisibles,"b) Collaborate to support PAHO Member States in implementing the new tools of the WHO Rehabilitation 2030 initiative, developed to strengthen rehabilitation in health systems. ASHA will offer technical cooperation in the following areas: workforce evaluation, training in speech and/or hearing assistive technology, and technical advice for countries’ strategic planning processes.","b) Colaborar para apoyar a los Estados Miembros de la OPS en la implementación de las nuevas herramientas de la iniciativa de Rehabilitación 2030 de la OMS, desarrolladas para fortalecer la rehabilitación en los sistemas de salud. ASHA ofrecerá cooperación técnica en las siguientes áreas: evaluación de la fuerza laboral, capacitación en tecnología de asistencia para el habla y/o la audición, y asesoramiento técnico para los procesos de planificación estratégica de los países.",,,1 year,1 year
NSA-2025-36-WPA_3,36,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 01: Access to comprehensive and quality health services; OCM 02: Health throughout the life course; OCM 03: Quality care for older people; OCM 05: Access to services for non-communicable diseases (NCDs) and mental health conditions; OCM 07: Health workforce,OCM 01: Acceso a servicios de salud integrales y de calidad; OCM 02: Salud a lo largo del ciclo de vida; OCM 03: Atención de calidad para las personas mayores; OCM 05: Acceso a servicios para enfermedades no transmisibles y condiciones de salud mental; OCM 07: Fuerza laboral de salud.,Goal 1: Equitable Access to Health Services; Goal 11: Health Inequalities and Inequities; Goal 9: Noncommunicable Diseases,Objetivo 1: Acceso Equitativo a los Servicios de Salud; Objetivo 11: Desigualdades e Inequidades en Salud; Objetivo 9: Enfermedades No Transmisibles,c) Continue collaborating to analyze data that indicates the needs and availability of services in the participating countries for individuals experiencing communication disorders. Ad hoc committee chairs will continue providing data on communication disorders.,c) Continuar colaborando para analizar datos que indiquen las necesidades y la disponibilidad de servicios en los países participantes para individuos que experimentan trastornos de la comunicación. Los presidentes de los comités ad hoc continuarán proporcionando datos sobre trastornos de la comunicación.,,,1 year,1 year
NSA-2025-25-WPA_1,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Implementation of comprehensive programs in Chaco, Salta, Paraguay, and Bolivia, including screening, diagnosis, treatment, and strengthening of Primary Health Care (APS). Actions in Triple Frontier, Pampa del Indio, Almirante Brown, and Córdoba.","Implementación de programas integrales en Chaco, Salta, Paraguay y Bolivia, con tamizaje, diagnóstico, tratamiento y fortalecimiento de APS. Acciones en Triple Frontera, Pampa del Indio, Almirante Brown y Córdoba.",,,01 - 07/2025,01 - 07/2025
NSA-2025-25-WPA_2,25,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Development of educational materials (posters, flipcharts, videos) and participatory validation with midwives and promoters in Guatemala to improve ETMI Plus care.","Desarrollo de materiales educativos (rotafolios, flipcharts, videos) y validación participativa con comadronas y promotores en Guatemala para mejorar la atención de ETMI Plus.",,,01- 05/2025,01- 05/2025
NSA-2025-25-WPA_3,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,Sustained supply of pediatric benznidazole for the treatment of cases detected in local health projects and systems.,Sustained supply of pediatric benznidazole for the treatment of cases detected in local health projects and systems.,,,01- 08/2025,01- 08/2025
NSA-2025-25-WPA_4,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Workshops and training for health teams and community agents in Argentina, Paraguay, and Guatemala to strengthen timely diagnosis and treatment.","Talleres y capacitaciones a equipos de salud y agentes comunitarios en Argentina, Paraguay y Guatemala para fortalecer el diagnóstico y tratamiento oportuno.",,,01 – 05/2025,01 – 05/2025
NSA-2025-25-WPA_5,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Coordination of the Initiative, technical meetings with PAHO and SEGIB, support to countries, organization of workshops and territorial training.","Coordinación de la Iniciativa, reuniones técnicas con OPS y SEGIB, acompañamiento a países, organización de talleres y formación territorial.",,,01 – 09/2025,01 – 09/2025
NSA-2025-25-WPA_6,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Aedes aegypti Surveillance and Control Program – Municipality of Tartagal  
Continuous monitoring of vector infestation and epidemiological risk through larval sampling, ovitraps, and focus blocking in response to suspected cases. Includes junk removal campaigns and data analysis to guide local decision-making.","Programa de Vigilancia y Control de Aedes aegypti – Municipio de Tartagal  
Monitoreo continuo de infestación vectorial y riesgo epidemiológico mediante muestreos larvarios, ovitrampas y bloqueos de foco ante casos sospechosos. Incluye campañas de descacharrado y análisis de datos para orientar decisiones locales.",,,12/2024 – 05/2025,12/2024 – 05/2025
